La Acebeda;41.0930184542923;-3.4765786497
Ajalvir;40.5290869072082;-3.4765786497
Alameda del Valle;40.9204642345628;-3.8482444566
El alamo;40.2328447920607;-3.9873046784
Alcala de Henares;40.4994044151797;-3.3401732231
Alcobendas;40.5361528074896;-3.6291320200
Alcorcon;40.3492301805427;-3.8284724950
Aldea del Fresno;40.3064188142099;-4.2175445017
Algete;40.6149831488445;-3.5332791623
Alpedrete;40.6619057447873;-4.0188988955
Ambite;40.3425539086476;-3.1719971825
Anchuelo;40.4688341160077;-3.2765909995
Aranjuez;40.0201959278488;-3.6590717053
Arganda del Rey;40.2963710574893;-3.4494456553
Arroyomolinos;39.14453538418;-3.9202000000
El Atazar;40.9291900455952;-3.4725994424
Batres;40.2253756745192;-3.9279972834
Becerril de la Sierra;40.7030728964239;-3.9336828559
Belmonte de Tajo;40.1329438910525;-3.3375285243
El Berrueco;40.8882301695029;-3.5532282577
Berzosa del Lozoya;40.973604970757;-3.5324557477
Boadilla del Monte;40.4046078284925;-3.8846969604
;;
;;
